Well,tx,conc,plate,T0,T48,hr_norm
B2,CX,10,p1,102.95467799093858,0,0
B2,CX,10,p2,134.47452812230017,0,0
B3,CX,5,p1,105.54151651539394,0,0
B3,CX,5,p2,128.60259770687205,0,0
B4,CX,1,p1,98.91741555392736,0,0
B4,CX,1,p2,118.53099237088342,0,0
B5,CX,0.75,p1,92.6701257532485,0,0
B5,CX,0.75,p2,120.45803985883938,0,0
B6,CX,0.5,p1,93.4327197691284,0,0
B6,CX,0.5,p2,117.116457512703,2.6380816750702434,2.252528578047287
B7,CX,0.1,p1,95.77732254736307,90.7759850729887,94.77816111230177
B7,CX,0.1,p2,108.47988754008581,72.57226434702282,66.8992805880313
B8,CX,0.05,p1,100.60110351839946,99.82877839973658,99.23228961546965
B8,CX,0.05,p2,111.97668799695421,85.41857511258227,76.28246257373291
B9,DOX,10,p1,103.45410230722072,0,0
B9,DOX,10,p2,104.90694234965076,0,0
B10,DOX,10,p1,100.58615069455867,0,0
B10,DOX,10,p2,108.03180506948206,0,0
B11,DOX,0.1,p1,107.73060992568446,19.980975377748507,18.54716629891164
B11,DOX,0.1,p2,112.86113836376681,10.379123205419345,9.196365866846051
C2,CX,10,p1,110.83481615503088,0,0
C2,CX,10,p2,129.73598277957564,0,0
C3,CX,5,p1,110.19782585941356,0,0
C3,CX,5,p2,120.84754945746879,0,0
C4,CX,1,p1,106.66596886822077,0.09292796253612849,0.08712053480799979
C4,CX,1,p2,108.34516993454481,0,0
C5,CX,0.75,p1,109.50700539796941,2.3144184685179088,2.1134889590915846
C5,CX,0.75,p2,116.02114480678274,0,0
C6,CX,0.5,p1,100.2272829223799,1.7436798009731826,1.739725701557289
C6,CX,0.5,p2,108.06987743626539,5.902005311573842,5.461286208133781
C7,CX,0.1,p1,81.09364953571482,34.059195843851754,41.99983110743042
C7,CX,0.1,p2,113.70165907659869,82.84438628228321,72.86119389557236
C8,CX,0.05,p1,98.69312319631563,83.78370467932535,84.89315361179403
C8,CX,0.05,p2,115.89228448843917,76.70143566452407,66.18338399583055
C9,DOX,5,p1,100.68782989667599,0,0
C9,DOX,5,p2,111.2943140384531,0,0
C10,DOX,5,p1,100.42765076184637,0,0
C10,DOX,5,p2,109.74506157473168,0,0
C11,DOX,0.1,p1,107.00091212225429,59.68682544909084,55.781604348283906
C11,DOX,0.1,p2,113.91545005930503,46.239174781571144,40.59078444363672
D2,VEH,10,p1,107.38669497734648,97.59558043390774,90.88237649412324
D2,VEH,10,p2,125.76181341611633,88.78103229282938,70.59458660879339
D3,VEH,5,p1,98.90844385962289,99.8814619690484,100.98375636240571
D3,VEH,5,p2,115.67849350573283,94.18190215927024,81.41695081342215
D4,VEH,1,p1,99.93121701033239,94.7067647166429,94.7719516983874
D4,VEH,1,p2,113.7250882253884,99.52118856087141,87.51031994245042
D5,VEH,0.75,p1,94.12952136010885,95.03750045732265,100.9646060917915
D5,VEH,0.75,p2,117.44153695216059,92.86093683845887,79.06992640626413
D6,VEH,0.5,p1,90.86681519805015,100.91171843559069,111.0545342825618
D6,VEH,0.5,p2,109.38190976849071,86.82883645741119,79.38134984220552
D7,VEH,0.1,p1,88.9678065702708,95.75458237295577,107.62835014632452
D7,VEH,0.1,p2,124.49078209427304,101.45798853007967,81.49839435762293
D8,VEH,0.05,p1,91.05223021367586,97.61899535360187,107.21208599121135
D8,VEH,0.05,p2,116.2027207099032,101.00842923674993,86.92432381933175
D9,DOX,1,p1,92.23649386186581,0,0
D9,DOX,1,p2,116.132433263534,0,0
D10,DOX,1,p1,94.0308327227597,0,0
D10,DOX,1,p2,104.86008405207127,0,0
D11,untx,0,p1,99.02507588558099,98.82486371785022,99.79781669850766
D11,untx,0,p2,112.31348201080668,106.73261229359916,95.0309886068081
E2,VEH,10,p1,100.07775468397206,97.83851022573447,97.76249530646572
E2,VEH,10,p2,131.43166742323294,88.57164851237442,67.38988422566248
E3,VEH,5,p1,100.39774511416482,96.00043902974427,95.62011469538459
E3,VEH,5,p2,126.78976731926608,94.95477464300835,74.89151265961799
E4,VEH,1,p1,98.96526459021786,106.303003695167,107.4144591391053
E4,VEH,1,p2,109.08025947782285,93.90477656749164,86.08778253464226
E5,VEH,0.75,p1,101.97377274698327,108.19375846046904,106.09959359738387
E5,VEH,0.75,p2,107.87951560234876,93.75389707863438,86.90611610105631
E6,VEH,0.5,p1,94.93996441227925,104.00541470017927,109.54861353068668
E6,VEH,0.5,p2,103.07654010045249,92.28205226896578,89.52769677662151
E7,VEH,0.1,p1,92.03911658716748,99.80536348004244,108.43798504467368
E7,VEH,0.1,p2,107.77408443279495,91.54612986413147,84.94261894770926
E8,VEH,0.05,p1,88.35175022803057,102.87271795997512,116.43540472539232
E8,VEH,0.05,p2,106.8662049171926,91.82017628266811,85.92068592106999
E9,DOX,0.5,p1,100.78950909879332,0,0
E9,DOX,0.5,p2,109.0861167650203,0,0
E10,DOX,0.5,p1,95.93582248007536,0,0
E10,DOX,0.5,p2,93.65216499978035,0,0
E11,untx,0,p1,100.97492411441903,101.17513628214978,100.19827909700025
E11,untx,0,p2,87.6865179891933,93.26738770640083,106.36456988507095
