"","cell_line","tx","conc","Time","mean_Tx_over_T0","se_Tx_over_T0"
"1","75","CX","0.1","T0",100,0
"2","75","CX","0.1","T24",82.7970260767718,4.0242049082472
"3","75","CX","0.1","T3",113.96658509758,3.73214562089679
"4","75","CX","0.1","T48",128.596753735957,3.29680278934141
"5","75","CX","0.1","T96",111.032513519227,5.77141830863843
"6","75","CX","0.5","T0",100,0
"7","75","CX","0.5","T24",112.622362676736,7.37794786047522
"8","75","CX","0.5","T3",103.191271214938,1.29204494356934
"9","75","CX","0.5","T48",101.867549108076,5.5439673966995
"10","75","CX","0.5","T96",118.219742998961,3.95788624337724
"11","75","CX","2.5","T0",100,0
"12","75","CX","2.5","T24",120.624346132836,9.98079966903761
"13","75","CX","2.5","T3",104.357485238955,3.83649411274795
"14","75","CX","2.5","T48",103.685299624234,1.96974810822601
"15","75","CX","2.5","T96",83.4653788123336,2.57590937574174
"16","75","DOX","0.1","T0",100,0
"17","75","DOX","0.1","T24",118.13225306606,3.52119412589465
"18","75","DOX","0.1","T3",72.0215258750659,5.72802238623892
"19","75","DOX","0.1","T48",78.4878743963788,5.86701776859534
"20","75","DOX","0.1","T96",101.574963103801,1.83365045748463
"21","75","DOX","0.5","T0",100,0
"22","75","DOX","0.5","T24",78.9821307023761,4.96703370537082
"23","75","DOX","0.5","T3",87.4361178533284,6.53402427855608
"24","75","DOX","0.5","T48",101.047536008596,2.52401776196388
"25","75","DOX","0.5","T96",65.0094675207898,0.474639670353771
"26","75","DOX","2.5","T0",100,0
"27","75","DOX","2.5","T24",55.7619754088377,1.74412529544768
"28","75","DOX","2.5","T3",80.2366121374773,6.09312259236401
"29","75","DOX","2.5","T48",55.60774695798,1.90338453570944
"30","75","DOX","2.5","T96",28.9504700802705,1.5786572987272
"31","75","VEH","0.1","T0",100,0
"32","75","VEH","0.1","T24",77.5847010970569,1.03170902072026
"33","75","VEH","0.1","T3",85.2944111134515,8.02959386381636
"34","75","VEH","0.1","T48",127.136430940475,5.83114180431984
"35","75","VEH","0.1","T96",120.62432962315,7.41601983205592
"36","75","VEH","0.5","T0",100,0
"37","75","VEH","0.5","T24",80.3443230653386,5.83134376734274
"38","75","VEH","0.5","T3",102.548239959238,5.95834273792055
"39","75","VEH","0.5","T48",128.7863237795,5.36296363215734
