"","cell_line","tx","conc","Time","mean_Tx_over_T0","se_Tx_over_T0"
"99","87","DOX","0.1","T48",99.8843201138418,2.57797045980616
"100","87","DOX","0.1","T96",94.6891437429628,3.33523771419564
"101","87","DOX","0.5","T0",100,0
"102","87","DOX","0.5","T24",75.0327061391672,1.34903146241128
"103","87","DOX","0.5","T3",101.543784609907,2.98069986316718
"104","87","DOX","0.5","T48",66.4121169383819,2.55068076607754
"105","87","DOX","0.5","T96",21.9585115492771,0.717943012254795
"106","87","DOX","2.5","T0",100,0
"107","87","DOX","2.5","T24",69.4993170883027,2.29968147088599
"108","87","DOX","2.5","T3",100.14900867755,2.60816308384649
"109","87","DOX","2.5","T48",48.1675226716891,3.48550486098782
"110","87","DOX","2.5","T96",17.7545687719764,0.736679809330122
"111","87","VEH","0.1","T0",100,0
"112","87","VEH","0.1","T24",94.7193570909796,2.28646439015094
"113","87","VEH","0.1","T3",94.0317973166039,1.45536753611691
"114","87","VEH","0.1","T48",74.5584889009282,1.49103516427838
"115","87","VEH","0.1","T96",75.3676245657467,4.5029967031664
"116","87","VEH","0.5","T0",100,0
"117","87","VEH","0.5","T24",93.4816223968438,1.28019516835101
"118","87","VEH","0.5","T3",92.7345681469048,1.44097356869723
"119","87","VEH","0.5","T48",103.526601039424,2.31021329422169
"120","87","VEH","0.5","T96",104.657181812067,9.1971128298842
"121","87","VEH","2.5","T0",100,0
"122","87","VEH","2.5","T24",83.7734578989723,1.14492200363344
"123","87","VEH","2.5","T3",94.0038963790621,2.1726091782713
"124","87","VEH","2.5","T48",101.10718343754,2.16009406427587
"125","87","VEH","2.5","T96",77.6029450525116,0.895433463267916
"126","87","untx","0","T0",100,0
"127","87","untx","0","T24",99.9692905968008,2.35916315005356
"128","87","untx","0","T3",100.015518188585,3.33847512226237
"129","87","untx","0","T48",96.89470118153,4.86044407289261
"130","87","untx","0","T96",95.6887227600151,3.97732261355643
